“甘普基本变形法则”五大例外中的第一项是什么？,不可能凭空变出美味佳肴
有人知道是谁让莱姆斯·卢平成为了狼人吗？,芬里尔·格雷贝克
有人知道是谁杀了家养小精灵多比吗？,贝拉特里克斯·莱斯特兰奇
有什么似乎是无辜的麻瓜物品掩盖了来访者进入魔法部的入口？,电话亭
有谁还记得伏地魔学生时期的名字？,汤姆·里德尔
有谁记得，邓布利多教授的前一任校长姓名？,阿芒多·迪佩特
有谁了解多比？他属于什么物种？,家养小精灵
有谁知道，阿不思·邓布利多的妹妹是谁？,阿利安娜
有谁知道，恶尔精喜欢吃什么？,小孩
有谁知道，哈利·波特的中间名是什么？,詹姆
有谁知道，哈利在哪里购买了课本？,丽痕书店
有谁知道，海格养育的小龙叫什么名字？,诺伯
有谁知道，斯内普教授曾是哪个学院的院长？,斯莱特林
有谁知道，为什么血人巴罗总戴着锁链吗？,内心忏悔
有谁知道哈利·波特的教父是谁？,小天狼星·布莱克
有谁知道血人巴罗是怎么死的？,自杀
有同学知道伏地魔的母亲叫什么名字吗？,梅洛普
与哈利·波特交好的韦斯莱一家曾居住的房子叫什么？,陋居
与蛇怪的眼睛对视会发生什么？,死亡
《预言家日报》的主编叫什么？,巴拿巴斯·古费
在比尔和芙蓉的婚礼上，是谁因为卢娜父亲的项链而感到不悦？,威克多尔·克鲁姆
在德拉科·马尔福的帮助下，食死徒通过什么进入了霍格沃茨？,消失柜
在邓布利多年轻时，曾不幸吃到哪个味道的比比多味豆？,呕吐物味
在反抗调查官乌姆里奇过程中，韦斯莱双子是在什么考试中放的烟花？,O·W·Ls魔咒理论考试
在古灵阁中，哪种物品被用于控制守护重要金库的龙？,丁当片
在国王十字街前往霍格沃茨的火车是几点发车？,十一点
在哈利·波特三年级时，格兰芬多塔的入口画像换成了谁？,卡多根爵士
在哈利·波特上学时期，当密室被打开时，第一位被袭击的学生是谁？,科林·克里维
在哈利的逃亡期间，他收听了一个广播电台是什么？,波特瞭望站
在霍格沃茨，学生能够接受的“普通巫师等级考试”的科目最多是？,12科
在霍格沃茨，由什么来决定新生的学院？,分院帽
在霍格沃茨举办的三强争霸赛第二个项目中，哪个咒语被两位选手同时使用，用以完成比赛？,泡头咒
在霍格沃茨中，成绩等级为A代表什么？,及格
在教黑魔法防御课之前，奇洛教授教什么课？,麻瓜研究
在魁地奇比赛中，找球手抓住金色飞贼，给多少分？,150
在魁地奇世界杯种威克多尔·克鲁姆抓住金色飞贼的战术是什么？,朗斯基假动作
在鲁伯·海格之前的保护神奇动物课教授是谁？,凯特尔伯恩教授
在马尔福庄园，贝拉特里克斯·莱斯特兰奇在赫敏·格兰杰的手臂上写了什么？,泥巴种
在密室，谁治好了哈利被蛇怪咬伤的胳膊？,福克斯
在密室中，凤凰的眼泪解了哪种生物的毒？,蛇怪
在密室中，是谁把格兰芬多宝剑给哈利的？,凤凰福克斯|凤凰
在密室中凤凰福克斯给哈利·波特带来了什么？,分院帽
在魔法火焰的灰烬中可以找到什么生物？,火灰蛇
在那个糟糕的学年里，乌姆里奇代理校长是如何离开霍格沃茨的？,被皮皮鬼赶出学校
在七个波特之战中哈利·波特由于施展了什么咒语而被认出？,缴械咒
在三强争霸赛举办那年的魁地奇世界杯的获胜队伍是？,爱尔兰队|保加利亚队
在三强争霸赛时，塞德里克·迪戈里告诉了哈利·波特什么的线索？,金蛋
在三强争霸赛中，哈利从黑湖里救出了谁？,罗恩和加布丽·德拉库尔
在三强争霸赛中，是谁告诉了塞德里克·迪戈里如何开启金蛋？,小巴蒂·克劳奇
在三强争霸赛中，谁没有成功救下水下的人质？,芙蓉·德拉库尔
在使用者忘记了一些事情的时候记忆球会变成什么颜色？,红色
在通往魔法石的关卡中，是谁施法设置了一关变形后的巨大棋盘？,米勒娃·麦格
在巫师棋对决中，罗恩·韦斯莱被哪种棋子击中了？,皇后
在巫师世界，龙属于高危险性魔法生物，鲁伯·海格得到火龙蛋的方式是？,酒馆赢得的
在小汉格顿的墓地中，塞德里克·迪戈里向哈利提出的最后一个请求是什么？,把他的尸体带给他的父母
在与伏地魔的战斗中，是谁的妈妈协助哈利·波特制造了假死的假象，骗过了所有人？,德拉科·马尔福
在与伏地魔的最后决战中，谁面对伏地魔时谎称哈利·波特死了？,纳西莎·马尔福
在最后的大战中，谁去密室拿了蛇怪的牙齿？,赫敏和罗恩
在座有魁地奇爱好者吗？考考你，哈利的第一把扫帚是什么型号？,光轮2000
炸尾螺是火螃蟹和什么生物的杂交后代？,人头狮身蝎尾兽
占卜课课本是下列中哪一本？,《拨开迷雾看未来》
占卜者温德林因为喜欢被火焰焚烧一共故意被逮捕了多少次？,47次
照妖镜的作用？,显示你的敌人正在逼近
直到20世纪30年代仍是“真正纯血统”的英国巫师家族有几个？,28
知名的魁地奇世界杯选手维克多·克鲁姆是哪个国家代表队的？,保加利亚队
众所周知，皮皮鬼最怕哪个幽灵？,血人巴罗
最初和最终，哈利乘坐什么交通工具来到及离开女贞路4号的？,小天狼星·布莱克的摩托车
最后大决战中，哈利·波特在哪里陷入假死？,禁林
最后一个被摧毁的魂器是什么？,纳吉尼
最终，邓布利多教授被杀害的地方是哪里？,天文塔
魔法石所在的金库是几号？,713号
莉莉·伊万斯的守护神和以下谁的一样？,西弗勒斯·斯内普
谁终结了邓布利多教授的生命？,斯内普教授
在火车上，罗恩告诉哈利他差不多有多少张巧克力蛙画片了？,大约五百张
纽特撰写的《神奇动物在哪里》由哪个出版社出版？,默默然出版社
如何进入魔法部？,把自己从马桶里冲走
促使哈利，罗恩和赫敏成为好友的事件是？,万圣节巨怪事件
麦格教授丈夫的名字是什么？,埃尔芬斯通·厄克特
金妮·韦斯莱的守护神是什么动物？,马
在格林德沃的集会上，纽特·斯卡曼德的哪只神奇动物偷走了血盟？,嗅嗅
在洛夫古德家中被食死徒追杀时，赫敏对谢诺菲留斯实施了什么咒语？,一忘皆空
最初是谁发现了哈利·波特是一名天生的魁地奇选手？,米勒娃·麦格
老魔杖倒数第二个主人是谁？,德拉科·马尔福
快乐咒是哈利在几年级学到的？,三年级
哈利·波特的小儿子阿不思·西弗勒斯·波特被分到了哪个学院？,斯莱特林
按住打人柳的什么部位？，它会静止不动？,树干上的结疤
哪个不是哈利·波特在洛哈特教授课上被迫扮演的角色？,一个家养小精灵
三强争霸赛几年举行一次？,5
纽特曾在什么地方发现神奇动物驺吾？,大街
吉德罗·洛哈特教授的秘密抱负是什么？,销售自己的美发产品
一年级三人组前往保护魔法石时，是谁拦住了他们？,纳威·隆巴顿
哈利第一次吃巧克力蛙时罗恩说他大约有多少张巧克力蛙卡片？,500张
三强争霸赛上，哈利·波特在第二轮获得了第几名？,2
魔法石的制造者尼可·勒梅就读于哪所魔法学校？,布斯巴顿
赫敏·格兰杰三人第一次配置复方汤剂花了多长时间？,一个月
哈利·波特第一次见到尼法朵拉·唐克斯时，她的头发是什么颜色？,紫罗兰色
霍格沃兹通往霍格莫德村隐秘通道的口令是什么？,左右分离
德拉科·马尔福的魔杖材质是什么？,山楂木
霍格沃兹主楼内会转动的楼梯是以下哪位学院创始人的杰作？,罗伊纳·拉文克劳
斯内普的私人储藏室曾被闯入三次，请选出其中一次。,小巴蒂·克劳奇偷复方汤剂材料
哈利·波特第一次来到古灵阁时，带领他们去金库的妖精是谁？,拉环
1918年，纽特·斯卡曼德受哪家公司委托撰写了《神奇动物在哪里》？,默默然图书公司
哈利·波特的伤疤在他身体的哪个部位？,右额
三强争霸赛第一关，谁给了哈利波特10分？,卢多·巴格曼
“石墩出动”咒语的正确拼写是？,Piertotum Locomotor
是谁在湖边击退摄魂怪解救哈利·波特？,哈利·波特
卢娜·洛夫古德的丈夫是谁？,罗夫·斯卡曼德
哈利·波特用什么摧毁了伏地魔的日记本？,蛇怪的毒牙
哈利将谁的袜子夹在书里被卢修斯·马尔福送给了多比？,哈利·波特
以下谁没有当过级长？,哈利·波特
哈利·波特第一次去海格家吃了什么？,岩皮饼
多洛雷斯·乌姆里奇戴的吊坠盒上的“S”被她称为？,塞尔温家族
哈利第一次去陋居，搭乘的是什么交通工具？,施了魔法的汽车
赫奇帕奇学院的谁被开除过？,纽特·斯卡曼德
不可饶恕咒不包括以下哪一个咒语？,一忘皆空
韦斯莱先生对韦斯莱太太的爱称是什么？,莫丽小颤颤
霍格沃兹史上最不受欢迎的校长是哪位？,菲尼亚斯·布莱克
在1996年神秘事务司大战中，赫敏被哪个食死徒重伤并且差点死掉？,安东宁·多洛霍夫
"""混血王子""在他的魔药课本上曾提出瞌睡豆如何处理更容易出汁？",用银短刀的侧面挤压
随意敲击赫奇帕奇公共休息室门口的大桶会如何？,被淋一身醋
韦斯莱双胞胎用药水成功把名字放进火焰杯后发生了什么？,他们变老了
霍格莫德的创建者是谁？,汉吉斯
阿不思·邓布利多在厄里斯魔镜中究竟看到了什么？,年轻的格林德沃
用干酪制作坩埚的巫师是谁？,汉弗莱·贝尔切
哈利的孩子有几个？,3
哈利·波特在三强争霸赛带回了谁的尸体？,塞德里克·迪戈里
哈利·波特二年级时无法进入九又四分之三车站是因为谁？,小精灵多比
纽特·斯卡曼德的那只护树罗锅叫什么名字？,皮克特
阿不思·邓布利多对哈利·波特说他在魔镜里看到了什么？,羊毛袜
去霍格莫德村有什么前提？,有监护人许可
邓布利多和格林德沃曾在哪里结下血盟？,谷仓
以下哪个不是伏地魔复活魔药所需要的药材？,自身的毛发
小天狼星·布莱克在阿兹卡班监狱关了几年？,12年
米布米宝据推测产自哪里？,亚述
谁是第一个成功制作出魂器的巫师？,卑鄙的海尔波
小天狼星的母亲叫什么？,沃尔布加·布莱克
以下哪种魔法生物被认为是虚构的？,泡泡鼻涕怪
邓布利多将什么遗赠给赫敏？,《诗翁彼豆故事集》
奥利凡德家族从什么时候开始制作魔杖？,公元前382年
试图和罗恩立牢不可破誓言，被打得左半拉屁股从此不一样的是谁？,弗雷德
多比没有用什么手段阻止哈利返校？,囚禁哈利波特
傲罗考试中，尼法朵·拉唐克斯最擅长的是哪一项？,隐藏和伪装
小天狼星布莱克的魔杖是什么材质？,橡树
霍格沃茨校门口的两个石像是什么？,滴水嘴石兽
霍格沃茨城堡有些楼梯每逢周几会通向不同的地方？,周五
以下哪种魔药材料是在月光下的禁林中才能采集到的？,流液草
雷古勒斯·布莱克死后变成了什么？,阴尸
韦斯莱双胞胎的守护神是什么？,喜鹊
哈利·波特被乌姆里奇惩罚抄写时用的墨水是？,自己的血
莫特拉鼠汁的主要用途是什么？,治疗伤口
小天狼星的魔杖是什么材质的？,橡树
韦斯莱家族中的双胞胎兄弟出生于哪个节日？,愚人节
历史上谁没有从阿兹卡班越狱过？,伊戈尔·卡卡洛夫
下列哪个不是哈利·波特在魔药课上闻迷情剂时闻到的味道？,雨后的泥土
哈利曾把什么道具放在了麻瓜出身登记委员会主任办公室门口引起了骚乱？,诱饵炸弹
哈利和赫敏第一次穿梭时空在哪里？,校医院
谁在魔法部出口抓住了赫敏并进入了格里莫广场12号的门口？,亚克斯利
波特家族曾经的家族产业是什么？,护发药水
小矮星彼得缺少的是哪根指头？,右手食指
哈利·波特四年级时进入校长室的口令是？,蟑螂堆/串
家养小精灵多比所穿的衣服是？,枕套
德拉科·马尔福在消失柜里藏过什么？,小鸟
邓布利多教授的鼻子看起来断了几次？,至少两次
德姆斯特朗的长袍颜色是什么？,血红色
在日本最受推崇的魔杖是由什么木材制成的？,樱桃木
霍格沃滋的幽灵教授宾斯教授是在哪里去世的？,休息室的沙发上
哈利曾在魔法部把诱饵炸弹放在哪了引起了骚乱？,麻瓜出身登记委员会主任办公室
赫敏提问密室时，宾斯教授在讲解哪年的国际巫师大会？,一二八九年
古灵阁地下瀑布有什么作用？,洗去所有的魔咒和魔法伪装
斯内普教授的第一节魔药课指导调制的药剂是？,治疗疥疮
斯内普教授曾经布置的关于狼人的论文有多长？,至少两张羊皮纸
哈利·波特的室友西莫喜欢哪项运动？,足球
冈特的戒指是在哪被摧毁的？,校长室
哈利·波特在四年级圣诞收到了教父小天狼星·布莱克送的什么礼物？,一把轻便的削笔刀
哈利·波特第一次喝福灵剂时喝了多少？,一小口
哈利吹飞姑妈离开家后在灌木丛里看到了什么？,小天狼星
卢娜·洛夫古德的妈妈去世的原因是？,做实验遇到了意外
谁曾用西弗勒斯·斯内普的魔咒倒挂金钟来对付他自己？,社交
罗恩在火车上第一次给哈利·波特展示的咒语是？,雏菊、甜奶油和阳光
第一任英国魔法部部长是谁？,尤里克·甘普
以下哪种生物不曾生活在禁林中？,驺吾
哈利·波特第一次到女贞路和最后一次离开是乘搭什么交通工具？,小天狼星·布莱克的摩托车
霍格沃茨的图书管理员叫什么？,平斯夫人
金妮是在施什么咒语时受到了斯拉格霍恩教授的关注被邀请到了鼻涕虫俱乐部,蝙蝠精咒
在哈利波特参加三强争霸赛的那一年比赛的裁判团不包括以下哪一位,麦格教授
哈利波特参加三强争霸赛的那一年获胜者奖励是什么,一千加隆
米兰达戈沙克共有多少个姐妹,8
预言家日报记者丽塔斯基特在哪里对哈利波特进行了赛前采访,储物间
在哪一年的国际巫师联合会上珊国际巫师联合会保密法被通过了,1692
学生自制的支持塞德里克徽章按一下之后会出现什么,波特臭大粪
龙守仁的魔杖是什么,12英寸银杏龙的神经
迷宫中炸尾螺是被两道什么咒语同时击中而倒下的,昏昏倒地
谁从斯内普那里偷走了鳃囊草帮助哈利顺利通过第二关,多比
龙守仁被火龙烈焰袭击失去了身体的哪个部位,左手
1991年谁在霍格沃茨教草药学？,斯普劳特教授
一场网络解谜的谜底，竟隐藏在周杰伦的歌曲之中？,16835
一群护树罗锅称为什么？,一个分支
三强争霸赛芙蓉德拉库尔选了什么龙？,威尔士绿龙
什么东西可以让你免受曼德拉草的伤害？,耳套
什么东西能让你看到别人的记忆？,冥想盆
什么东西能重環记化27？,冥想盆
什么像啮齿动物一样的生物覆盖着触须？,莫特拉鼠
什么是始叠德拉草换盘时的必夏道具？,耳罩
什么是重新盆栽婴儿***草时必要的道具？,耳罩
什么神奇的生物出现在自动弹奏的竖琴上？,美人鱼
什么魔法世界的出版物中有弯角鼾兽的故事？,唱唱反调
什么魔法物品选择冠军参加三强争霸赛？,火焰杯
仇敌镜是做什么的？,显示你的敌人正在逼近
以下哪所魔法学校不接受麻瓜学生入学？,德姆斯特朗
你会在哪条街上找到黑魔法商店（博金-**)？,翻倒巷
哈利在霍格沃兹，谁是班上的第一名？,赫敏格兰杰
哪个不是魔法部金色魔法兄弟喷泉中描绘的魔法生物中？,狐媚子
哪些魁地奇球员用球棒把游走球击向对方球队？,击球手
在学期结束时得分最多的霍格沃茨学院赢得了什么？,学院杯
在魁地奇比赛中，哪个球用来常规得分？,鬼飞球
如何追踪霍格沃茨学院杯的分数？,装满宝石的沙漏
宁法朵拉·唐克斯有什么罕见的魔法能力？,易容马格斯
山人巴罗杀害了道？,海莲娜·拉文克劳
当盖勒特·格林德沃打入美国魔法国会时，他的身份是什么？,帕西瓦尔·格雷福斯
恋秋综合症秋天为何成了治愈季？,新闻快讯
斯内普和谁立下了申不可破餐言？,纳西莎·马尔福
是什么取代了猫头鹰作为部里员工互相发送备忘录的方式？,纸飞机
是什么神奇的人工制品创造了长生不老药？,魔法石
海格的《保护神奇生物课》中那本咬人的教科书的名字是什么？,妖怪们的妖怪书
海格的粉红色雨伞里巧妙地藏着什么？,他的一根魔杖
海莲划·拉文克劳把地母豪的冠奚藏在明里？,在一棵空心的树中
诱饵雷管有什么用？,吸引火力
说出使用易燃卡片的神奇游戏？,爆炸牌
谁的冠翼成7伏地魔的流器？,罗伊場·拉文克劳
谁運照海格打开了樓室？,汤姆·里德尔
赫敏为了更多的学习骑扫帚飞行，读了什么书？,魁地奇古史
赫敏·格兰杰给父母施展咒语后把他们送到了哪里？,澳大利亚
這是討論串底端！何不幫忙讓這串魔法煙綿延下去呢？,寫點留言
達的挂必成7伏地魔的魂器？,萨拉查·斯莱特林
邓布利多属于哪个霍格沃兹学院？,格兰芬多
霍格沃兹女生盥洗室里总有鬼出没？,桃金娘
在哈利为第三关做准备的时候麦格教授提供了什么帮助,允许在午饭时间使用变形课教室
按照芙蓉德拉库尔的说法以下哪件事请不会发生在布斯巴顿,皮皮鬼到处捉弄人
在第二项挑战中除了罗恩韦斯莱之外另一个被哈利波特救出湖底的人是谁,加布丽德拉库尔
哈利曾经假装将福灵剂加进什么饮料里误导罗恩喝下去,南瓜汁
有一句常用语真是多卡斯是用来形容什么的,愚蠢不称职
共有多少所学校是已知的,7
以下哪位巫师没有担任过国际巫师联合会会长,米里森巴格诺
杰拉德格雷毕业于霍格沃茨哪个学院,他没上过学
第三项挑战中哪位勇士发射过红色火花,哈利波特
三强争霸赛期间赤赫敏答应了谁的舞会邀请,威克多尔克鲁姆
维拉在她入学后的第几年就获得了魁地奇奖杯,第二年
以下哪种方法不能帮助一名霍格沃茨学生潜入黑湖之中,闭耳塞听
洛丽丝夫人是透过什么看见了蛇怪,走廊里地面的水
三强争霸赛不包括哪个学校,伊法魔尼
龙守仁是从哪所魔法学校毕业的,在已知的记录里他没有去过魔法学校
血人巴罗夺走了谁的性命,海莲娜拉文克劳
在哈利波特生活的年代以下哪个选项不能被进口到英国魔法界,飞毯
奥利凡德用于测试克鲁姆魔杖的咒语是什么,飞鸟群群
根据维拉的生活年代以下哪位有可能看过维拉的比赛,邓布利多
以下哪种水下生物被人鱼作为武器,洛巴虫
以下哪个东西是阿比盖尔讨厌的,狼毒药水的味道
在哈利波特参加三强争霸赛的那一年雷第一项挑战发生在几月,十一月
是谁真正提出了七个波特的建议,西弗勒斯斯内普
以下哪种生物不太可能在黑湖中见到,雷鸟
美国魔法国会的首长瑟拉菲娜皮奎里入学时获得了伊法魔尼所有学院的录取她最后选择了哪个学院入学,长角水蛇
在哈利波特参加三强争霸赛的那一年报名参赛的年龄限制是,17
麻瓜在靠近施展了麻瓜驱逐咒的地点时会发生什么,想起十万火急的事情匆匆离开
一个对南美洲魔法生物和植物感兴趣的霍格沃茨学生可以选择去哪所学校交流,卡斯特罗布舍
在第二项挑战开始前是谁告诉了塞德里克金蛋谜题的解法,小巴蒂克劳奇
阿不福思·邓布利多曾被控告对什么动物滥施魔法？,山羊
阿兹卡班建造在哪里？,北海中央
波特家族发明了什么魔药？,生骨灵
布莱克家族大部分成员的名字是根据什么来命名的？,恒星或星座
代课老师格拉普兰教授的名字叫什么？,威尔米娜
德思礼夫妇在哈利去霍格沃茨的第一年圣诞，送了什么礼物给哈利？,五十便士
邓布利多将魂器上的诅咒压制在了自己身体的哪个部位？,右手
地精的天敌是什么生物？,土扒貂
第一次骑着扫帚飞越大西洋的巫师使用的是什么型号的飞天扫帚？,橡木箭79
弗农·德思礼所在的公司的名字是什么？,格朗宁
关于哈利·波特的预言球在神秘事务司的第几排？,第97排
哈利·波特的姨夫在什么公司上班？,格朗宁钻机公司
哈利·波特和罗恩第一次在火车上见面时，双胞胎正准备去看什么？,蜘蛛
哈利上三年级前，在暑假收到了罗恩送的什么礼物？,袖珍窥镜
哈利四年级时参加的三强争霸赛的奖金是多少？,一千加隆
哈利与罗恩拿着戏法魔杖在变形课上比剑术之后，哈利的假魔杖变成了什么？,橡皮的黑线鳕鱼
海格给他曾孵出的小龙起的名字是？,诺伯
火蜥蜴在如尼文中代表什么？,数字6
吉德罗·洛哈特荣获多少次《巫师周刊》最迷人微笑奖？,五次
进入赫奇帕奇休息室需要敲击哪个木桶？,第二排中间第二个桶
进入英国魔法部的方式是？,将自己冲进马桶
历史上赫敏·格兰杰熬制的第一份魔药叫什么？,治疗疥疮的药水
隆巴顿教授的祖母的名字是什么？,奥古斯塔
洛里斯夫人是谁的猫？,阿格斯。费尔奇
麻瓜传说中的麦田怪可能是哪种神奇动物名下的？,月痴兽
魔法所学生长袍优秀会变什么颜色,金色
魔法所的学生长袍颜色会根据学生的知识改变,金色
以下哪个科目不是瓦加度的学生擅长的,预言
在什么情况下魔法所的学生会被开除,学生制服变成白色
在哈利波特参加三强争霸赛的那一年以下哪个品种的龙没有出现,挪威脊背龙
拉帕波特法律的核心内容是,将麻鸡和巫师社会完全分离
维拉生前所在的学院是,赫奇帕奇
因为蛇怪而丧生的女孩是谁,桃金娘伊丽莎白沃伦
伊法魔尼学校有四个学院各自有代表的神奇动物以下哪个神奇动物不包含在其中,隐形兽
以下哪位没有自己尝试把报名羊皮纸丢入火焰杯,哈利波特
以下哪本书的作者不是米兰达戈沙克,人鱼语言与习俗的综合指南
卡斯特罗布舍的学生制服是什么颜色的,亮绿色
卢娜洛夫古德喜欢的耳坠款式是,飞艇李
法国巫师创作了一部戏剧作品证明15世纪时魁地奇运动已在欧洲普及这部作品是15,哎呀我把脚变形了
为了让姐姐不干扰自己米兰达戈沙克经常使用哪个咒语,蝙蝠精咒
谁曾经被判在阿兹卡班中囚禁半年,斯多吉波德摩
以下哪件事一定不符合三强争霸赛的章程,勇士应该寻求一切能寻求的人的帮助
国际巫师联合会第一届会议在哪里召开,法国
蔻尔的母亲的工作是,魔法事故和灾难司
是谁发明了狼毒药剂,达摩克利斯贝尔比
以下哪种行为不会是肃清者的选择,加入美国魔法部
沼泽挖子从外形上看起来像什么,一块木头
魔法所的建筑材质是什么,纯白羊脂玉
在哈利波特参加三强争霸赛的那一年火焰杯选择的第一位勇士是,威克多尔克鲁姆
根据对英国魔法部国际魔法合作司的了解以下哪项工作不由他们负责,改变巴黎上空的天气
哈利波特在冥想盆中看到了卡卡洛夫的受审现场以下没有被卡卡洛夫检举的食死徒是,贝拉特里克斯莱斯特兰奇
布斯巴顿代表队的飞马只喝什么,纯麦芽威士忌
位于霍格莫德村的疯狂藤蔓的真实主人是,索恩
哪一种是最稀有的杖芯材料,凤凰羽毛
邓布利多为了保证不满年龄的学生不会报名参赛在火焰杯旁边设置了什么,年龄线
德拉科马尔福在修理消失柜时高尔等人用摔掉什么来提醒他有人靠近,天平
斯内普教授童年生活的地方是,蜘蛛尾巷
为了通过第二关克鲁姆把自己的脑袋变成了什么,鲨鱼
沼泽挖子的舌头是什么药水的必备材料,专注药水
著名炼金术师尼可勒梅毕业于哪所魔法学校,布斯巴顿
伊法魔尼在十七世纪建立它的建立者是1627,伊索瑟尔及其丈夫
为君开这种植物是如何培育出来的,独家研发的秘密配方
米兰达戈沙克出生于哪一年,1921
神秘人于第三项挑战后复活复复活他的材料中不包括,朋友的泪
在三强争霸赛期间的圣诞舞会中哈利波特最终选择的舞伴是,帕瓦蒂佩蒂尔
奥利凡德在给哈利波特介绍魔杖时提到谁的魔杖用于变形术最好不过,詹姆斯波特
以下哪所魔法学校的学生不使用魔杖,瓦加度
哈利波特和罗恩一家观看了哪一届魁地奇世界杯赛,第422届
哈利波特第一次乘坐霍格沃茨特快时花了多少钱买零食,十一个银西可和七枚铜纳特
在第一项挑战中哈利波特使用了哪个咒语来通过考验,飞来咒
以下哪种神奇生物的粪便可以作为肥料,月痴兽
历史上第一位女性英国魔法部部长是,阿特米希亚勒夫金
三强争霸赛第二项挑战的时间限制是,一小时
哈利在校期间谁曾经担任过魁地奇解说员,卢娜洛夫古德
杰拉德格雷是怎么变成狼人的,芬里尔格雷伯克的受害者
凯文的妈妈为哪支魁地奇球队效力,霍利黑德哈比队
年满多少岁就可以被魔法所录取,七岁
以下哪件事没有发生在1692年的国际巫师联合会上1692,明确机构负责隐藏辖区的魔法世界
世界上历史最悠久夫规模最大的魔法学校是,瓦加度
科斯特洛布舍由谁保护,凯波拉
在哈利波特参加三强争霸赛的那一年天雷布斯巴顿和德姆斯特朗代表是什么时间抵达霍格沃茨的,十月三十日傍晚六时
魔法所的学生长袍颜色会根据学生的知识改变如果学生在所有科目都获得最高分长袍会变成什么颜色,金色
韦斯莱家是如何处理花园中的地精的,甩晕并扔到远处
罗恩韦斯莱使用坏掉的魔杖后不停吐出什么,鼻涕虫
学生最少的魔法学校是哪所,魔法所
奥利凡德用于测试芙蓉德拉库尔魔杖的咒语是什么,兰花盛开
在七个波特大战中谁没有喝下复方药剂变为哈利波特,莱姆斯卢平
哈利波特是谁的后裔,伊格诺图斯佩弗利尔
以下哪个不是韦斯莱魔法把戏坊的独家产品,吹宝超级泡泡糖
除了巫师之外还有谁想要加入国际巫师联合会但是被拒绝了,妖精
当哈利波特想给小天狼星写一封信林描述自己安然无完成了第一项挑战他选择了哪只猫头鹰,小猪
如果你遇见了一个格林迪洛什么咒语会非常有用,抽离咒
凯文的父亲从事什么职业,飞天扫帚设计
请问哈利波特小儿子的教父是谁,纳威隆巴顿
尼可勒梅将魔法石移交给邓布利多时的年龄是多少,665岁
规模最大的魔法学校是哪所,瓦加度
人鱼会饲养什么水下生物作为宠物,格林迪洛
阿比盖尔的出身是,混血
阿不思邓布利多最喜欢什么口味的果酱,覆盆子果酱
以下哪种危险哈利没有在迷宫中遇见,摄魂怪
以下哪个陈述与阿特米希亚勒夫金无关,解决了一起严重的麻瓜目击魔法事件
请问以下英国魔法部部长里谁的任职时间最长,法里斯斯帕文
在哈利四年级时他的表哥达利因为体重过重需要减肥而减肥的早餐是什么,葡萄柚
维拉死后变成了幽灵现在你可以在霍格沃茨的哪里遇见她,魁地奇球场廊桥附近和船屋附近
世界上共有多少所在国际巫师联合会注册的魔法学校,11
在哈利波特参加三强争霸赛的时候第一项比赛中他获得的最低分数是谁打出来的几分,卡卡洛夫
小天狼星布莱克的阿尼玛格斯是什么动物,黑色大狗
维拉在去世时在球队里担任的位置是什么,找球手
以下哪个地区不包含已知的魔法学校,澳大利亚
在第三项迷宫挑战中如果遇见困难了勇士可以发射什么颜色的火花求救,红色
是谁让哈利波特知道巧克力可以缓解摄魂怪带来的负面情绪,莱姆斯卢平
玛姬姑妈被充气后遇到了谁？,小天狼星
美国魔法国会的首任主席是谁？,约西亚·杰克森
欧洲的巫师从什么时候开始使用飞天扫帚？,公元962年
三把扫帚的老板娘是？,罗斯默塔女士
什么生物看起来像由一缕烟雾组成，提着灯笼，会把旅行的人引入泥沼？,欣克庞克
是谁曾经在暑假辅导过哈利魔法史作业？,福洛林·福斯科
谁曾经在N.E.W.Ts中亲自考阿不思·邓布利多的变形学和魔咒学？,格丝尔达·玛奇班
斯内普教授关哈利禁闭时曾经让他处理过什么魔药材料？,弗洛伯毛虫
乌头的别称除了舟形乌头还有什么？,狼毒乌头
西莫·斐尼甘面对博格特时，博格特变成了什么？,女鬼
下列哪本不是丽塔·斯基特所著？,《糊弄麻瓜的简单法术》
下列哪位巫师没有收到过吼叫信？,德拉科·马尔福
以下伊法魔尼四大学院创始人中哪一位是麻瓜？,詹姆斯·斯图尔特
1612年妖精叛乱司令部所在地是？,猪头酒吧
阿不思·邓布利多的母亲是？,坎德拉·邓布利多
阿不思·邓布利多的前一任校长名字叫做？,阿芒多·迪佩特
罗恩·韦斯莱儿时的家叫什么？,陋居
海格的课上那本会咬人的书叫什么？,妖怪们的妖怪书
阿不思·邓布利多的出生地是？,沃土原
出现在巧克力蛙画片中的中国炼金术士是谁？,邹衍
伏地魔的最后一个魂器是谁杀的？,纳威
哈利·波特曾经被叫做什么？,疤头
哈利曾经使用诱饵炸弹在魔法部的哪个办公室门口引起了骚乱？,麻瓜出身登记委员会主任办公室
霍格沃茨大战之前谁召唤了食死徒？,阿莱克托·卡罗
纳威的祖母叫什么名字？,奥古斯塔
什么人才能看见夜骐？,目睹过死亡的人
总出没在霍格沃茨女生盥洗室的鬼魂叫什么？,桃金娘
非常有用的定向咒是谁发现并建议哈利练习的,赫敏
魁地奇比赛中抓住金色飞贼可以加多少分,150
三强争霸赛每几年举办一次,5
邓布利多去世前其其他人为何无法透露出凤凰社的地点,因为他们不是保密人
哈利波特饲养的猫头鹰海德薇的眼睛是什么颜色,琥珀色
